Лог был сохранен в архив "log api 08.04.2025, 22_14_01.txt" и очищен
09.04.2025, 00:28:01 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:28:01 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:28:01 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
09.04.2025, 00:30:39 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:30:39 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:30:40 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:30:40 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:30:40 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
09.04.2025, 00:31:07 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:31:07 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:31:08 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:31:08 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:31:08 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
09.04.2025, 00:31:34 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:31:34 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:31:35 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:31:35 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:31:35 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
09.04.2025, 00:32:48 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:32:48 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:32:48 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:32:48 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:32:48 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
09.04.2025, 00:33:13 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:33:13 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:33:14 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:33:14 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:33:14 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
09.04.2025, 00:37:03 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:37:03 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:37:03 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:37:03 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:37:03 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
09.04.2025, 00:40:24 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:40:24 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:40:24 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:40:24 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:40:24 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
09.04.2025, 00:41:32 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:41:32 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:41:32 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:41:32 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:41:32 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
09.04.2025, 00:42:25 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:42:25 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:42:25 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:42:25 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:42:25 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
09.04.2025, 00:51:38 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:51:38 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
